POST session{2163088844=>#<Bar:0x00000101dc3b98 @val1=1, @val2=2>}
POST session{2162790392=>#<Bar:0x00000101d31ff0 @val1=1, @val2=2>}
POST session{2162704488=>#<Bar:0x00000101d080d0 @val1=1, @val2=2>}
POST session{2162632164=>#<Bar:0x00000101ce4bc8 @val1=1, @val2=2>}
POST session{2162480740=>#<Bar:0x00000101c9acc8 @val1=1, @val2=2>}
POST session{2162072836=>#<Bar:0x00000101bd3a08 @val1=1, @val2=2>}
POST session{2161392128=>#<Bar:0x00000101a87400 @val1=1, @val2=2>}
POST session{2161083176=>#<Bar:0x000001019f0650 @val1=1, @val2=2>}
get of 2161083176
POST session{2160436460=>#<Bar:0x000001018b49d8 @val1=1, @val2=2>}
POST session{2157818824=>#<Bar:0x000001013b6790 @val1=1, @val2=2>}
PUT session:{2157818824=>#<Bar:0x000001013a14f0 @val1=1, @val2=2>}
POST session{2157719284=>#<Bar:0x00000101385de8 @val1=1, @val2=2>}
PUT session:{2157719284=>#<Bar:0x00000101368cd8 @val1=1, @val2=2>}
POST session{2163738640=>#<Bar:0x00000101f01020 @val1=1, @val2=2>}
PUT session:{2163738640=>#<Bar:0x00000101ee44c0 @val1=1, @val2=2>}
POST session{2153882388=>#<Bar:0x00000100c34628 @val1=1, @val2=2>}
PUT session:{2153882388=>#<Bar:0x00000100c19230 @val1=1, @val2=2>}
PUT session:{2153882388=>#<Bar:0x00000100bfc890 @val1=1, @val2=2>}
POST session{2153660628=>#<Bar:0x00000100bc81a8 @val1=1, @val2=2>}
POST session{2153454884=>#<Bar:0x00000100b63a48 @val1=1, @val2=2>}
POST session{2153373516=>#<Bar:0x00000100b3be98 @val1=1, @val2=2>}
PUT session:{2153373516=>#<Bar:0x00000100b21ef8 @val1=1, @val2=2>}
POST session{2153105472=>#<Bar:0x00000100ab9080 @val1=1, @val2=2>}
PUT session:{2153105472=>#<Bar:0x00000100a8b3e8 @val1=1, @val2=2>}
POST session{2152929520=>#<Bar:0x00000100a631e0 @val1=1, @val2=2>}
POST session{2152565884=>#<Bar:0x000001009b18f8 @val1=1, @val2=2>}
POST session{2153277224=>#<Bar:0x00000100b0ce50 @val1=1, @val2=2>}
POST session{2162770736=>#<Bar:0x00000101d28660 @val1=1, @val2=2>}
POST session{2164119020=>#<Bar:0x00000101fbabd8 @val1=1, @val2=2>}
POST session{2164066548=>#<Bar:0x00000101fa11e8 @val1=1, @val2=2>}
POST session{2164023568=>#<Bar:0x00000101f8c220 @val1=1, @val2=2>}
POST session{2163980616=>#<Bar:0x00000101f77290 @val1=1, @val2=2>}
POST session{2163928592=>#<Bar:0x00000101f5dc20 @val1=1, @val2=2>}
get of 2163928592
POST session{2163822500=>#<Bar:0x00000101f29f48 @val1=1, @val2=2>}
POST session{2163714868=>#<Bar:0x00000101ef5668 @val1=1, @val2=2>}
PUT session:{2163714868=>#<Bar:0x00000101ed9eb8 @val1=1, @val2=2>}
POST session{2163515816=>#<Bar:0x00000101e94350 @val1=1, @val2=2>}
PUT session:{2163515816=>#<Bar:0x00000101e83368 @val1=1, @val2=2>}
POST session{2156112252=>#<Bar:0x000001010752f8 @val1=1, @val2=2>}
